id;fecha_hora_cita;fecha_hora_cita_fin;comentarios
1;2020-08-07T23:05:19;2020-08-07T15:40:54;Maine clicks-and-mortar
2;2020-08-07T21:54:18;2020-08-07T15:52:14;purple Salad Cotton
3;2020-08-07T13:21:28;2020-08-08T05:37:20;AGP indexing
4;2020-08-08T01:44:29;2020-08-08T04:19:15;robust
5;2020-08-07T16:33:18;2020-08-07T13:17:13;Product Cambridgeshire
6;2020-08-08T03:12:36;2020-08-07T13:52:32;Gorgeous Investment Account Qatar
7;2020-08-08T05:54:04;2020-08-07T17:07:42;Ouguiya Intelligent Wisconsin
8;2020-08-07T23:27:35;2020-08-07T20:51:28;Ergonomic Saint Martin
9;2020-08-08T00:18:14;2020-08-08T07:13:02;User-centric Lead
10;2020-08-07T13:11:37;2020-08-07T18:34:07;users high-level orange
